id,mnem,desc,type,ops,lhs,op,rhs,flags
69,movw,Copy register pair,data,"Rd, Rr",Rd+1:Rd,set,Rr+1:Rr,
70,ldi,Load immediate,data,"Rd, K",Rd,set,K,
71,lds,Load direct from data space,data,"Rd, k",Rd,set,(k),
72,ld,Load indirect,data,"Rd, X",Rd,set,(X),
73,ld,Load indirect and post-increment,data,"Rd, X+",Rd; X,set; set,(X); X + 1,
74,ld,Load indirect and pre-decrement,data,"Rd, -X",X; Rd,set; set,X - 1; (X),
75,ld,Load indirect,data,"Rd, Y",Rd,set,(Y),
76,ld,Load indirect and post-increment,data,"Rd, Y+",Rd; Y,set; set,(Y); Y + 1,
77,ld,Load indirect and pre-decrement,data,"Rd, -Y",Y; Rd,set; set,Y - 1; (Y),
78,ldd,Load indirect with displacement,data,"Rd, Y+q",Rd,set,(Y + q),
79,ld,Load indirect,data,"Rd, Z",Rd,set,(Z),
80,ld,Load indirect and post-increment,data,"Rd, Z+",Rd; Z,set; set,(Z); Z+1,
81,ld,Load indirect and pre-decrement,data,"Rd, -Z",Z; Rd,set; set,Z - 1; (Z),
82,ldd,Load indirect with displacement,data,"Rd, Z+q",Rd,set,(Z + q),
83,sts,Store direct to data space,data,"k, Rr",(k),set,Rd,
84,st,Store indirect,data,"X, Rr",(X),set,Rr,
85,st,Store indirect and post-increment,data,"X+, Rr",(X); X,set; set,Rr; X + 1,
86,st,Store indirect and pre-decrement,data,"-X, Rr",X; (X),set; set,X - 1; Rr,
87,st,Store indirect,data,"Y, Rr",(Y),set,Rr,
88,st,Store indirect and post-increment,data,"Y+, Rr",(Y); Y,set; set,Rr; Y + 1,
89,st,Store indirect and pre-decrement,data,"-Y, Rr",Y; (Y),set; set,Y - 1; Rr,
90,std,Store indirect with displacement,data,"Y+q, Rr",(Y+q),set,Rr,
91,st,Store indirect,data,"Z, Rr",(Z),set,Rr,
92,st,Store indirect and post-increment,data,"Z+, Rr",(Z); Z,set; set,Rr; Z + 1,
93,st,Store indirect and pre-decrement,data,"-Z, Rr",Z,set,Z - 1,
94,std,Store indirect with displacement,data,"Z+q, Rr",(Z+q),set,Rr,
95,lpm,Load program memory,data,,R0,set,(Z),
96,lpm,Load program memory,data,"Rd, Z",Rd,set,(Z),
97,lpm,Load program memory and post-increment,data,"Rd, Z+",Rd; Z,set; set,(Z); Z + 1,
98,elpm,Extended load program memory,data,,R0,set,(RAMPZ:Z),
99,elpm,Extended load program memory,data,"Rd, Z",Rd,set,(RAMPZ:Z),
100,elpm,Extended load program memory and post-increment,data,"Rd, Z+",Rd; (RAMPZ:Z),set; set,(RAMPZ:Z); (RAMPZ:Z) + 1,
101,spm,Store program memory,data,,(RAMPZ:Z),set,R1:R0,
102,spm,Store program memory and post-increment by 2,data,Z+,(RAMPZ:Z); Z,set; set,R1:R0; Z + 2,
103,in,In from I/O location,data,"Rd, A",Rd,set,IO(A),
104,out,Out to I/O location,data,"A, Rr",IO(A),set,Rr,
105,push,Push register on stack,data,Rr,STACK,set,Rr,
106,pop,Pop register from stack,data,Rd,Rd,set,STACK,
107,xch,Exchange,data,"Z, Rd",(Z); Rd,set; set,Rd; (Z),
108,las,Load and set,data,"Z, Rd",(Z); Rd,set; set,Rd | (Z); (Z),
109,lac,Load and clear,data,"Z, Rd",(Z); Rd,set; set,($FF - Rd) & (Z); (Z),
110,lat,Load and toggle,data,"Z, Rd",(Z); Rd,set; set,Rd ^ (Z); (Z),
111,lsl,Logical shift left,bits,Rd,Rd(n + 1); Rd(0); C,set; set; set,Rd(n); 0; Rd(7),"Z, C, N, V, H"
112,lsr,Logical shift right,bits,Rd,Rd(n); Rd(7); C,set; set; set,Rd(n + 1); 0; Rd(0),"Z, C, N, V"
113,rol,Rotate left through carry,bits,Rd,Rd(0); Rd(n + 1); C,set; set; set,C; Rd(n); Rd(7),"Z, C, N, V, H"
114,ror,Rotate right through carry,bits,Rd,Rd(7); Rd(n); C,set; set; set,C; Rd(n + 1); Rd(0),"Z, C, N, V"
115,asr,Arithmetic shift right,bits,Rd,Rd(n),set,"Rd(n + 1), n=0..6","Z, C, N, V"
116,swap,Swap nibbles,bits,Rd,Rd(3..0),swap,Rd(7..4),
117,sbi,Set bit in I/O register,bits,"A, b","IO(A, b)",set,1,
118,cbi,Clear bit in I/O register,bits,"A, b","IO(A, b)",set,0,
119,bst,Bit store from register to T,bits,"Rr, b",T,set,Rr(b),T
120,bld,Bit load from T to register,bits,"Rd, b",Rd(b),set,T,
121,bset,Flag set,bits,s,SREG(s),set,1,SREG(s)
122,bclr,Flag clear,bits,s,SREG(s),set,0,SREG(s)
123,sec,Set carry,bits,,C,set,1,C
124,clc,Clear carry,bits,,C,set,0,C
125,sen,Set negative flag,bits,,N,set,1,N
126,cln,Clear negative flag,bits,,N,set,0,N
127,sez,Set zero flag,bits,,Z,set,1,Z
128,clz,Clear zero flag,bits,,Z,set,0,Z
129,sei,Global interrupt enable,bits,,I,set,1,I
130,cli,Global interrupt disable,bits,,I,set,0,I
131,ses,Set signed test flag,bits,,S,set,1,S
132,cls,Clear signed test flag,bits,,S,set,0,S
133,sev,Set two’s complement overflow,bits,,V,set,1,V
134,clv,Clear two’s complement overflow,bits,,V,set,0,V
135,set,Set T in SREG,bits,,T,set,1,T
136,clt,Clear T in SREG,bits,,T,set,0,T
137,seh,Set half carry flag in SREG,bits,,H,set,1,H
138,clh,Clear half carry flag in SREG,bits,,H,set,0,H
139,break,Break,mcu,,,,,
140,nop,No operation,mcu,,,,,
141,sleep,Sleep,mcu,,,,,
142,wdr,Watchdog reset,mcu,,,,,
